game_id,game_name,game_des,game_yr_pub,min_players,max_players,min_play_time,max_play_time,min_age,num_ratings,avg_rating,bayes_avg_rating,overall_rank_bayesavg,family_rank_bayes,complexity,categories,mechanics,families,implementations,designers,publishers
174430,Gloomhaven,"Gloomhaven  is a game of Euro-inspired tactical combat in a persistent world of shifting motives. Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world. Players must work together out of necessity to clear out menacing dungeons and forgotten ruins. In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching story fueled by the decisions they make.&#10;&#10;This is a game with a persistent and changing world that is ideally played over many game sessions. After a scenario, players will make decisions on what to do, which will determine how the story continues, kind of like a &ldquo;Choose Your Own Adventure&rdquo; book. Playing through a scenario is a cooperative affair where players will fight against automated monsters using an innovative card system to determine the order of play and what a player does on their turn.&#10;&#10;Each turn, a player chooses two cards to play out of their hand. The number on the top card determines their initiative for the round. Each card also has a top and bottom power, and when it is a player&rsquo;s turn in the initiative order, they determine whether to use the top power of one card and the bottom power of the other, or vice-versa. Players must be careful, though, because over time they will permanently lose cards from their hands. If they take too long to clear a dungeon, they may end up exhausted and be forced to retreat.&#10;&#10;",2017,1,4,60,120,14,49737,8.7285,8.49563,1|8.49563,thematic/1/8.47366|strategygames/1/8.46295,3.8728,Adventure|Exploration|Fantasy|Fighting|Miniatures,"Action Queue|Action Retrieval|Campaign / Battle Card Driven|Card Play Conflict Resolution|Communication Limits|Cooperative Game|Critical Hits and Failures|Deck Construction|Deck, Bag, and Pool Building|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Modular Board|Once-Per-Game Abilities|Role Playing|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Storytelling|Variable Player Powers",Category: Dungeon Crawler|Components: Miniatures|Components: Multi-Use Cards|Components: Standees|Creatures: Demons|Creatures: Dragons|Creatures: Monsters|Crowdfunding: Kickstarter|Digital Implementations: TableTop Simulator Mod (TTS)|Game: Gloomhaven|Mechanism: Campaign Games|Mechanism: Legacy|Misc: Forteller Audio Narration|Misc: Limited replayability|Players: Games with Solitaire Rules,,Isaac Childres,"Cephalofair Games|Albi|Albi Polska|Arclight|Asmodee|Feuerland Spiele|Galápagos Jogos|Games Warehouse|Gém Klub Kft.|Hobby World|Korea Boardgames Co., Ltd.|MYBG Co., Ltd."
161936,Pandemic Legacy: Season 1,"Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game. At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand.&#10;&#10;During a player's turn, they have four actions available, with which they may travel around in the world in various ways (sometimes needing to discard a card), build structures like research stations, treat diseases (removing one cube from the board; if all cubes of a color have been removed, the disease has been eradicated), trade cards with other players, or find a cure for a disease (requiring five cards of the same color to be discarded while at a research station). Each player has a unique role with special abilities to help them at these actions.&#10;&#10;After a player has taken their actions, they draw two cards. These cards can include epidemic cards, which will place new disease cubes on the board, and can lead to an outbreak, spreading disease cubes even further. Outbreaks additionally increase the panic level of a city, making that city more expensive to travel to.&#10;&#10;Each month in the game, you have two chances to achieve that month's objectives. If you succeed, you win and immediately move on to the next month. If you fail, you have a second chance, with more funding for beneficial event cards.&#10;&#10;During the campaign, new rules and components will be introduced. These will sometimes require you to permanently alter the components of the game; this includes writing on cards, ripping up cards, and placing permanent stickers on components. Your characters can gain new skills, or detrimental effects. A character can even be lost entirely, at which point it's no longer available for play.&#10;&#10;Part of the Pandemic series&#10;&#10;",2015,2,4,60,60,13,46207,8.58701,8.43544,2|8.43544,thematic/2/8.42624|strategygames/3/8.42193,2.8302,Environmental|Medical,Action Points|Cooperative Game|Hand Management|Legacy Game|Point to Point Movement|Set Collection|Trading|Variable Player Powers,Components: Map (Global Scale)|Components: Multi-Use Cards|Game: Pandemic|Mechanism: Campaign Games|Mechanism: Legacy|Medical: Diseases|Misc: Limited replayability|Occupation: Dispatcher|Occupation: Medic / Doctor / Nurses|Occupation: Researcher / Scientist|Region: The World|Theme: Science|Versions & Editions: Legacy Versions of Non-Legacy Games,Pandemic Legacy: Season 2|Pandemic,Rob Daviau|Matt Leacock,"Z-Man Games|Asterion Press|Devir|Filosofia Éditions|Gém Klub Kft.|Hobby Japan|Jolly Thinkers|Korea Boardgames Co., Ltd.|Lacerta|Lifestyle Boardgames Ltd|MINDOK"
224517,Brass: Birmingham,"Brass: Birmingham is an economic strategy game sequel to Martin Wallace' 2007 masterpiece, Brass. Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution, between the years of 1770-1870.&#10;&#10;As in its predecessor, you must develop, build, and establish your industries and network, in an effort to exploit low or high market demands.&#10;&#10;Each round, players take turns according to the turn order track, receiving two actions to perform any of the following actions (found in the original game):&#10;&#10;1) Build - Pay required resources and place an industry tile.&#10;2) Network - Add a rail / canal link, expanding your network.&#10;3) Develop - Increase the VP value of an industry.&#10;4) Sell - Sell your cotton, manufactured goods and pottery.&#10;5) Loan - Take a &pound;30 loan and reduce your income.&#10;&#10;Brass: Birmingham also features a new sixth action:&#10;&#10;6) Scout - Discard three cards and take a wild location and wild industry card. (This action replaces Double Action Build in original Brass.)&#10;&#10;The game is played over two halves: the canal era (years 1770-1830) and the rail era (years 1830-1870). To win the game, score the most VPs. VPs are counted at the end of each half for the canals, rails and established (flipped) industry tiles.&#10;&#10;Birmingham features dynamic scoring canals/rails. Instead of each flipped industry tile giving a static 1 VP to all connected canals and rails, many industries give 0 or even 2 VPs. This provides players with the opportunity to score much higher value canals in the first era, and creates interesting strategy with industry placement.&#10;&#10;Iron, coal, and cotton are three industries which appear in both the original Brass as well as in Brass: Birmingham.&#10;&#10;New &quot;Sell&quot; system&#10;&#10;Brewing has become a fundamental part of the culture in Birmingham. You must now sell your product through traders located around the edges of the board. Each of these traders is looking for a specific type of good each game. To sell cotton, pottery, or manufactured goods to these traders, you must also &quot;grease the wheels of industry&quot; by consuming beer. For example, a level 1 cotton mill requires one beer to flip. As an incentive to sell early, the first player to sell to a trader receives free beer.&#10;&#10;Birmingham features three all-new industry types:&#10;&#10;Brewery - Produces precious beer barrels required to sell goods.&#10;&#10;Manufactured goods - Function like cotton, but features eight levels. Each level of manufactured goods provides unique rewards, rather than just escalating in VPs, making it a more versatile (yet potentially more difficult) path vs cotton.&#10;&#10;Pottery - These behemoths of Birmingham offer huge VPs, but at a huge cost and need to plan.&#10;&#10;Increased Coal and Iron Market size - The price of coal and iron can now go up to &pound;8 per cube, and it's not uncommon.&#10;&#10;Brass: Birmingham is a sequel to Brass. It offers a very different story arc and experience from its predecessor.&#10;&#10;",2018,2,4,60,120,14,27629,8.6588,8.42263,3|8.42263,strategygames/2/8.45557,3.9043,Economic|Industry / Manufacturing|Post-Napoleonic|Transportation,Hand Management|Income|Loans|Market|Network and Route Building|Tech Trees / Tech Tracks|Turn Order: Stat-Based|Variable Set-up,Cities: Birmingham (England)|Country: England|Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede|Digital Implementations: Tabletopia|Food & Drink: Beer|Game: Brass|History: Industrial Revolution|Organizations: The Game Artisans of Canada|Theme: Canals,Brass: Lancashire,Gavan Brown|Matt Tolman|Martin Wallace,Roxley|Arclight|BoardM Factory|Conclave Editora|CrowD Games|Dexker Games|Funforge|Gém Klub Kft.|Ghenos Games|Giant Roc|Lord of Boards|Maldito Games|PHALANX|TLAMA games
167791,Terraforming Mars,"In the 2400s, mankind begins to terraform the planet Mars. Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable. In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things.&#10;&#10;The players acquire unique project cards (from over two hundred different ones) by buying them to their hand. The projects (cards) can represent anything from introducing plant life or animals, hurling asteroids at the surface, building cities, to mining the moons of Jupiter and establishing greenhouse gas industries to heat up the atmosphere. The cards can give you immediate bonuses, as well as increasing your production of different resources. Many cards also have requirements and they become playable when the temperature, oxygen, or ocean coverage increases enough. Buying cards is costly, so there is a balance between buying cards (3 megacredits per card) and actually playing them (which can cost anything between 0 to 41 megacredits, depending on the project). Standard Projects are always available to complement your cards.&#10;&#10;Your basic income, as well as your basic score, is based on your Terraform Rating (starting at 20), which increases every time you raise one of the three global parameters. However, your income is complemented with your production, and you also get VPs from many other sources.&#10;&#10;Each player keeps track of their production and resources on their player boards, and the game uses six types of resources: MegaCredits, Steel, Titanium, Plants, Energy, and Heat. On the game board, you compete for the best places for your city tiles, ocean tiles, and greenery tiles. You also compete for different Milestones and Awards worth many VPs. Each round is called a generation (guess why) and consists of the following phases:&#10;&#10;1) Player order shifts clockwise.&#10;2) Research phase: All players buy cards from four privately drawn.&#10;3) Action phase: Players take turns doing 1-2 actions from these options: Playing a card, claiming a Milestone, funding an Award, using a Standard project, converting plant into greenery tiles (and raising oxygen), converting heat into a temperature raise, and using the action of a card in play. The turn continues around the table (sometimes several laps) until all players have passed.&#10;4) Production phase: Players get resources according to their terraform rating and production parameters.&#10;&#10;When the three global parameters (temperature, oxygen, ocean) have all reached their goal, the terraforming is complete, and the game ends after that generation. Count your Terraform Rating and other VPs to determine the winning corporation!&#10;&#10;",2016,1,5,120,120,12,77570,8.41264,8.26819,5|8.26819,strategygames/6/8.24833,3.2478,Economic|Environmental|Industry / Manufacturing|Science Fiction|Space Exploration|Territory Building,Closed Drafting|Contracts|Enclosure|End Game Bonuses|Events|Hand Management|Hexagon Grid|Income|Once-Per-Game Abilities|Set Collection|Solo / Solitaire Game|Take That|Tech Trees / Tech Tracks|Tile Placement|Turn Order: Progressive|Variable Player Powers|Variable Set-up|Victory Points as a Resource,Components: Map (Global Scale)|Components: Multi-Use Cards|Game: Terraforming Mars|Mechanism: Tableau Building|Players: Games with Solitaire Rules|Setting: Future Timeline (Fryxgames)|Space: Earth's Solar System|Space: Mars|Theme: Science,Terraforming Mars: Ares Expedition|Terraforming Mars: Dice Game,Jacob Fryxelius,"FryxGames|Arclight|Brädspel.se|Fantasmagoria|Ghenos Games|Green Elephant Games|Intrafin Games|Kilogames|Korea Boardgames Co., Ltd.|Lautapelit.fi|Lavka Games|Lex Games|Maldito Games|MeepleBR|MINDOK|MYBG Co., Ltd.|NeoTroy Games|Pridemage Games|Rebel Sp. z o.o.|Reflexshop|Schwerkraft-Verlag|Siam Board Games|Stronghold Games|SuperHeated Neurons|Surfin' Meeple China"
291457,Gloomhaven: Jaws of the Lion,"Gloomhaven: Jaws of the Lion is a standalone game that takes place before the events of Gloomhaven. The game includes four new characters &mdash; Valrath Red Guard (tank, crowd control), Inox Hatchet (ranged damage), Human Voidwarden (support, mind-control), and Quatryl Demolitionist (melee damage, obstacle manipulation) &mdash; that can also be used in the original Gloomhaven game.&#10;&#10;The game also includes 16 monster types (including seven new standard monsters and three new bosses) and a new campaign with 25 scenarios that invites the heroes to investigate a case of mysterious disappearances within the city. Is it the work of Vermlings, or is something far more sinister going on?&#10;&#10;Gloomhaven: Jaws of the Lion is aimed at a more casual audience to get people into the gameplay more quickly. All of the hard-to-organize cardboard map tiles have been removed, and instead players will play on the scenario book itself, which features new artwork unique to each scenario. The last barrier to entry &mdash; i.e., learning the game &mdash; has also been lowered through a simplified rule set and a five-scenario tutorial that will ease new players into the experience.&#10;&#10;",2020,1,4,30,120,14,18796,8.64682,8.27022,4|8.27022,thematic/3/8.30864|strategygames/5/8.27021,3.5908,Adventure|Exploration|Fantasy|Fighting|Miniatures,Action Queue|Action Retrieval|Campaign / Battle Card Driven|Communication Limits|Cooperative Game|Critical Hits and Failures|Deck Construction|Grid Movement|Hand Management|Hexagon Grid|Legacy Game|Line of Sight|Once-Per-Game Abilities|Scenario / Mission / Campaign Game|Simultaneous Action Selection|Solo / Solitaire Game|Variable Player Powers,Category: Dungeon Crawler|Components: Book as Board|Components: Miniatures|Components: Multi-Use Cards|Components: Standees|Game: Gloomhaven|Mechanism: Campaign Games|Mechanism: Legacy|Misc: Forteller Audio Narration|Misc: Limited replayability|Players: Games with Solitaire Rules,,Isaac Childres,"Cephalofair Games|Albi|Albi Polska|Asmodee|Asmodee China|Asmodee Italia|Feuerland Spiele|Gém Klub Kft.|Hobby World|Korea Boardgames Co., Ltd.|Meanbook Games|Siam Board Games"
233078,Twilight Imperium: Fourth Edition,"Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining. Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics. These seventeen races are offered many paths to victory, but only one may sit upon the throne of Mecatol Rex as the new masters of the galaxy.&#10;&#10;No two games of Twilight Imperium are ever identical. At the start of each galactic age, the game board is uniquely and strategically constructed using 51 galaxy tiles that feature everything from lush new planets and supernovas to asteroid fields and gravity rifts. Players are dealt a hand of these tiles and take turns creating the galaxy around Mecatol Rex, the capital planet seated in the center of the board. An ion storm may block your race from progressing through the galaxy while a fortuitously placed gravity rift may protect you from your closest foes. The galaxy is yours to both craft and dominate.&#10;&#10;A round of Twilight Imperium begins with players selecting one of eight strategy cards that both determine player order and give their owner a unique strategic action for that round. These may do anything from providing additional command tokens to allowing a player to control trade throughout the galaxy. After these roles are selected, players take turns moving their fleets from system to system, claiming new planets for their empire, and engaging in warfare and trade with other factions. At the end of a turn, players gather in a grand council to pass new laws and agendas, shaking up the game in unpredictable ways.&#10;&#10;After every player has passed their turn, players move up the victory track by checking to see whether they have completed any objectives throughout the turn and scoring them. Objectives are determined by setting up ten public objective cards at the start of each game, then gradually revealing them with every round. Every player also chooses between two random secret objectives at the start of the game, providing victory points achievable only by the holder of that objective. These objectives can be anything from researching new technologies to taking your neighbor's home system. At the end of every turn, a player can claim one public objective and one secret objective. As play continues, more of these objectives are revealed and more secret objectives are dealt out, giving players dynamically changing goals throughout the game. Play continues until a player reaches ten victory points.&#10;&#10;&mdash;description from the publisher&#10;&#10;",2017,3,6,240,480,14,16919,8.66213,8.25438,6|8.25438,thematic/4/8.2996|strategygames/4/8.28754,4.2579,Civilization|Economic|Exploration|Negotiation|Political|Science Fiction|Space Exploration|Wargame,Action Drafting|Area Majority / Influence|Area-Impulse|Dice Rolling|Follow|Grid Movement|Hexagon Grid|Increase Value of Unchosen Resources|King of the Hill|Modular Board|Tech Trees / Tech Tracks|Trading|Variable Phase Order|Variable Player Powers|Variable Set-up|Voting,Components: Hexagonal Tiles|Components: Map (Interplanetary or Interstellar scale)|Components: Miniatures|Game: Twilight Imperium|Mechanism: 4X,Twilight Imperium: Third Edition,Dane Beltrami|Corey Konieczka|Christian T. Petersen,Fantasy Flight Games|ADC Blackfire Entertainment|Arclight|Asmodee|Asterion Press|Edge Entertainment|Galakta|Galápagos Jogos|Hobby World|Playfun Games|sternenschimmermeer
220308,Gaia Project,"Gaia Project is a new game in the line of Terra Mystica. As in the original Terra Mystica, fourteen different factions live on seven different kinds of planets, and each faction is bound to their own home planets, so to develop and grow, they must terraform neighboring planets into their home environments in competition with the other groups. In addition, Gaia planets can be used by all factions for colonization, and Transdimensional planets can be changed into Gaia planets.&#10;&#10;All factions can improve their skills in six different areas of development &mdash; Terraforming, Navigation, Artificial Intelligence, Gaiaforming, Economy, Research &mdash; leading to advanced technology and special bonuses. To do all of that, each group has special skills and abilities.&#10;&#10;The playing area is made of ten sectors, allowing a variable set-up and thus an even bigger replay value than its predecessor Terra Mystica. A two-player game is hosted on seven sectors.&#10;&#10;&mdash;description from the publisher&#10;&#10;",2017,1,4,60,150,12,20381,8.46304,8.17271,7|8.17271,strategygames/7/8.22381,4.3727,Civilization|Economic|Miniatures|Science Fiction|Space Exploration|Territory Building,Contracts|End Game Bonuses|Hexagon Grid|Income|Modular Board|Network and Route Building|Solo / Solitaire Game|Tech Trees / Tech Tracks|Turn Order: Pass Order|Variable Player Powers|Variable Set-up|Victory Points as a Resource,Category: Combinatorial|Components: Control Boards|Components: Map (Interplanetary or Interstellar scale)|Digital Implementations: Board Game Arena|Mechanism: Tableau Building|Organizations: Automa Factory|Players: Games with Solitaire Rules,Terra Mystica,Jens Drögemüller|Helge Ostertag,Feuerland Spiele|Capstone Games|Cranio Creations|DiceTree Games|Edge Entertainment|Game Harbor|Games Factory|Hobby World|Maldito Games|Mandala Jogos|Reflexshop|Super Meeple|TLAMA games|White Goblin Games|Z-Man Games|テンデイズゲームズ(TendaysGames)
187645,Star Wars: Rebellion,"Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.&#10;&#10;Experience the Galactic Civil War like never before. In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance. You must command starships, account for troop movements, and rally systems to your cause. Given the differences between the Empire and Rebel Alliance, each side has different win conditions, and you'll need to adjust your play style depending on who you represent:&#10;&#10;     As the Imperial player, you can command legions of Stormtroopers, swarms of TIEs, Star Destroyers, and even the Death Star. You rule the galaxy by fear, relying on the power of your massive military to enforce your will. To win the game, you need to snuff out the budding Rebel Alliance by finding its base and obliterating it. Along the way, you can subjugate worlds or even destroy them.&#10;     As the Rebel player, you can command dozens of troopers, T-47 airspeeders, Corellian corvettes, and fighter squadrons. However, these forces are no match for the Imperial military. In terms of raw strength, you'll find yourself clearly overmatched from the very outset, so you'll need to rally the planets to join your cause and execute targeted military strikes to sabotage Imperial build yards and steal valuable intelligence. To win the Galactic Civil War, you'll need to sway the galaxy's citizens to your cause. If you survive long enough and strengthen your reputation, you inspire the galaxy to a full-scale revolt, and you win.&#10;&#10;&#10;&#10;&#10;Featuring more than 150 plastic miniatures and two game boards that account for thirty-two of the Star Wars galaxy's most notable systems, Rebellion features a scope that is as large and sweeping as any Star Wars game before it.&#10;&#10;Yet for all its grandiosity, Rebellion remains intensely personal, cinematic, and heroic. As much as your success depends upon the strength of your starships, vehicles, and troops, it depends upon the individual efforts of such notable characters as Leia Organa, Mon Mothma, Grand Moff Tarkin, and Emperor Palpatine. As civil war spreads throughout the galaxy, these leaders are invaluable to your efforts, and the secret missions they attempt will evoke many of the most inspiring moments from the classic trilogy. You might send Luke Skywalker to receive Jedi training on Dagobah or have Darth Vader spring a trap that freezes Han Solo in carbonite!&#10;&#10;",2016,2,4,180,240,14,26448,8.42025,8.16955,8|8.16955,thematic/6/8.20637,3.7288,Civil War|Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction|Space Exploration|Wargame,Area Majority / Influence|Area Movement|Area-Impulse|Card Play Conflict Resolution|Contracts|Delayed Purchase|Dice Rolling|Die Icon Resolution|Events|Hand Management|Hidden Movement|Income|Once-Per-Game Abilities|Simulation|Take That|Team-Based Game|Variable Player Powers|Variable Set-up,Category: Two players fighting games|Components: Map (Interplanetary or Interstellar scale)|Components: Miniatures|Components: Standees|Movies: Star Wars,,Corey Konieczka,Fantasy Flight Games|ADC Blackfire Entertainment|Asterion Press|Delta Vision Publishing|Edge Entertainment|Galakta|Galápagos Jogos|Heidelberger Spieleverlag|Hobby World
162886,Spirit Island,"In the most distant reaches of the world, magic still exists, embodied by spirits of the land, of the sky, and of every natural thing. As the great powers of Europe stretch their colonial empires further and further, they will inevitably lay claim to a place where spirits still hold power - and when they do, the land itself will fight back alongside the islanders who live there.&#10;&#10;Spirit Island is a complex and thematic cooperative game about defending your island home from colonizing Invaders. Players are different spirits of the land, each with its own unique elemental powers. Every turn, players simultaneously choose which of their power cards to play, paying energy to do so. Using combinations of power cards that match a spirit's elemental affinities can grant free bonus effects. Faster powers take effect immediately, before the Invaders spread and ravage, but other magics are slower, requiring forethought and planning to use effectively. In the Spirit phase, spirits gain energy, and choose how / whether to Grow: to reclaim used power cards, to seek for new power, or to spread presence into new areas of the island.&#10;&#10;The Invaders expand across the island map in a semi-predictable fashion. Each turn they explore into some lands (portions of the island); the next turn, they build in those lands, forming settlements and cities. The turn after that, they ravage there, bringing blight to the land and attacking any native islanders present.&#10;&#10;The islanders fight back against the Invaders when attacked, and lend the spirits some other aid, but may not always do so exactly as you'd hoped. Some Powers work through the islanders, helping them (eg) drive out the Invaders or clean the land of blight.&#10;&#10;The game escalates as it progresses: spirits spread their presence to new parts of the island and seek out new and more potent powers, while the Invaders step up their colonization efforts. Each turn represents 1-3 years of alternate-history.&#10;&#10;At game start, winning requires destroying every last settlement and city on the board - but as you frighten the Invaders more and more, victory becomes easier: they'll run away even if some number of settlements or cities remain. Defeat comes if any spirit is destroyed, if the island is overrun by blight, or if the Invader deck is depleted before achieving victory.&#10;&#10;The game includes different adversaries to fight against (eg: a Swedish Mining Colony, or a Remote British Colony). Each changes play in different ways, and offers a different path of difficulty boosts to keep the game challenging as you gain skill.&#10;&#10;",2017,1,4,90,120,13,34621,8.36431,8.14343,9|8.14343,strategygames/10/8.13223,4.0437,Age of Reason|Environmental|Fantasy|Fighting|Mythology|Renaissance|Territory Building,Action Retrieval|Area Majority / Influence|Automatic Resource Growth|Campaign / Battle Card Driven|Cooperative Game|Events|Hand Management|Modular Board|Set Collection|Simultaneous Action Selection|Solo / Solitaire Game|Variable Player Powers|Variable Set-up,Components: Control Boards|Components: Map (Continental / National scale)|Components: Miniatures|Components: Wooden pieces & boards|Crowdfunding: Kickstarter|Game: Spirit Island|Players: Games with Solitaire Rules|Theme: Colonial,,R. Eric Reuss,"Greater Than Games, LLC|Ace Studios|Arrakis Games|BoardM Factory|Engames|Fabled Nexus|Fox in the Box|Gém Klub Kft.|Ghenos Games|Hobby World|Intrafin Games|Lacerta|One Moment Games|Pegasus Spiele|REXhry"
182028,Through the Ages: A New Story of Civilization,"Through the Ages: A New Story of Civilization is the new edition of Through the Ages: A Story of Civilization, with many changes small and large to the game's cards over its three ages and extensive changes to how military works.&#10;&#10;Through the Ages is a civilization building game. Each player attempts to build the best civilization through careful resource management, discovering new technologies, electing the right leaders, building wonders and maintaining a strong military. Weakness in any area can be exploited by your opponents. The game takes place throughout the ages beginning in the age of antiquity and ending in the modern age.&#10;&#10;One of the primary mechanisms in TTA is card drafting. Technologies, wonders, and leaders come into play and become easier to draft the longer they are in play. In order to use a technology you will need enough science to discover it, enough food to create a population to man it and enough resources (ore) to build the building to use it. While balancing the resources needed to advance your technology you also need to build a military. Military is built in the same way as civilian buildings. Players that have a weak military will be preyed upon by other players. There is no map in the game so you cannot lose territory, but players with higher military will steal resources, science, kill leaders, take population or culture. It is very difficult to win with a large military, but it is very easy to lose because of a weak one.&#10;&#10;Victory is achieved by the player whose nation has the most culture at the end of the modern age.&#10;&#10;",2015,2,4,120,120,14,26435,8.37084,8.13812,11|8.13812,strategygames/8/8.17172,4.4184,Card Game|Civilization|Economic,Action Points|Auction/Bidding|Auction: Dutch|Events|Income|Open Drafting|Take That,Digital Implementations: Board Game Arena|Game: Through the Ages|Mechanism: Tableau Building,Through the Ages: A Story of Civilization,Vlaada Chvátil,"Czech Games Edition|Cranio Creations|Devir|DiceTree Games|Eagle-Gryphon Games|GaGa Games|Gém Klub Kft.|HaKubia|HeidelBÄR Games|Heidelberger Spieleverlag|IELLO|MINDOK|New Games Order, LLC|One Moment Games|Rebel Sp. z o.o."
