game_id,game_name,game_yr_pub,min_players,max_players,min_play_time,min_age,avg_rating,complexity,categories,designers,publishers,rank,Puzzle,Card Game
174430,Gloomhaven,2017,1,4,60,14,8.7285,3.8728,Adventure|Exploration|Fantasy|Fighting|Miniatures,Isaac Childres,"Cephalofair Games|Albi|Albi Polska|Arclight|Asmodee|Feuerland Spiele|Galápagos Jogos|Games Warehouse|Gém Klub Kft.|Hobby World|Korea Boardgames Co., Ltd.|MYBG Co., Ltd.",1,0,0
161936,Pandemic Legacy: Season 1,2015,2,4,60,13,8.58701,2.8302,Environmental|Medical,Rob Daviau|Matt Leacock,"Z-Man Games|Asterion Press|Devir|Filosofia Éditions|Gém Klub Kft.|Hobby Japan|Jolly Thinkers|Korea Boardgames Co., Ltd.|Lacerta|Lifestyle Boardgames Ltd|MINDOK",2,0,0
224517,Brass: Birmingham,2018,2,4,60,14,8.6588,3.9043,Economic|Industry / Manufacturing|Post-Napoleonic|Transportation,Gavan Brown|Matt Tolman|Martin Wallace,Roxley|Arclight|BoardM Factory|Conclave Editora|CrowD Games|Dexker Games|Funforge|Gém Klub Kft.|Ghenos Games|Giant Roc|Lord of Boards|Maldito Games|PHALANX|TLAMA games,3,0,0
167791,Terraforming Mars,2016,1,5,120,12,8.41264,3.2478,Economic|Environmental|Industry / Manufacturing|Science Fiction|Space Exploration|Territory Building,Jacob Fryxelius,"FryxGames|Arclight|Brädspel.se|Fantasmagoria|Ghenos Games|Green Elephant Games|Intrafin Games|Kilogames|Korea Boardgames Co., Ltd.|Lautapelit.fi|Lavka Games|Lex Games|Maldito Games|MeepleBR|MINDOK|MYBG Co., Ltd.|NeoTroy Games|Pridemage Games|Rebel Sp. z o.o.|Reflexshop|Schwerkraft-Verlag|Siam Board Games|Stronghold Games|SuperHeated Neurons|Surfin' Meeple China",4,0,0
291457,Gloomhaven: Jaws of the Lion,2020,1,4,30,14,8.64682,3.5908,Adventure|Exploration|Fantasy|Fighting|Miniatures,Isaac Childres,"Cephalofair Games|Albi|Albi Polska|Asmodee|Asmodee China|Asmodee Italia|Feuerland Spiele|Gém Klub Kft.|Hobby World|Korea Boardgames Co., Ltd.|Meanbook Games|Siam Board Games",5,0,0
233078,Twilight Imperium: Fourth Edition,2017,3,6,240,14,8.66213,4.2579,Civilization|Economic|Exploration|Negotiation|Political|Science Fiction|Space Exploration|Wargame,Dane Beltrami|Corey Konieczka|Christian T. Petersen,Fantasy Flight Games|ADC Blackfire Entertainment|Arclight|Asmodee|Asterion Press|Edge Entertainment|Galakta|Galápagos Jogos|Hobby World|Playfun Games|sternenschimmermeer,6,0,0
220308,Gaia Project,2017,1,4,60,12,8.46304,4.3727,Civilization|Economic|Miniatures|Science Fiction|Space Exploration|Territory Building,Jens Drögemüller|Helge Ostertag,Feuerland Spiele|Capstone Games|Cranio Creations|DiceTree Games|Edge Entertainment|Game Harbor|Games Factory|Hobby World|Maldito Games|Mandala Jogos|Reflexshop|Super Meeple|TLAMA games|White Goblin Games|Z-Man Games|テンデイズゲームズ(TendaysGames),7,0,0
187645,Star Wars: Rebellion,2016,2,4,180,14,8.42025,3.7288,Civil War|Fighting|Miniatures|Movies / TV / Radio theme|Science Fiction|Space Exploration|Wargame,Corey Konieczka,Fantasy Flight Games|ADC Blackfire Entertainment|Asterion Press|Delta Vision Publishing|Edge Entertainment|Galakta|Galápagos Jogos|Heidelberger Spieleverlag|Hobby World,8,0,0
162886,Spirit Island,2017,1,4,90,13,8.36431,4.0437,Age of Reason|Environmental|Fantasy|Fighting|Mythology|Renaissance|Territory Building,R. Eric Reuss,"Greater Than Games, LLC|Ace Studios|Arrakis Games|BoardM Factory|Engames|Fabled Nexus|Fox in the Box|Gém Klub Kft.|Ghenos Games|Hobby World|Intrafin Games|Lacerta|One Moment Games|Pegasus Spiele|REXhry",9,0,0
182028,Through the Ages: A New Story of Civilization,2015,2,4,120,14,8.37084,4.4184,Card Game|Civilization|Economic,Vlaada Chvátil,"Czech Games Edition|Cranio Creations|Devir|DiceTree Games|Eagle-Gryphon Games|GaGa Games|Gém Klub Kft.|HaKubia|HeidelBÄR Games|Heidelberger Spieleverlag|IELLO|MINDOK|New Games Order, LLC|One Moment Games|Rebel Sp. z o.o.",10,0,1
115746,War of the Ring: Second Edition,2011,2,4,150,13,8.51742,4.1822,Adventure|Fantasy|Fighting|Miniatures|Novel-based|Territory Building|Wargame,Roberto Di Meglio|Marco Maggi|Francesco Nepitello,Ares Games|Angry Lion Games|Devir|GaGa Games|Galakta|Geekach Games|Heidelberger Spieleverlag|Nuts! Publishing|Planplay|Red Glove|Sophisticated Games|Zhiyanjia,11,0,0
193738,Great Western Trail,2016,2,4,75,12,8.28799,3.7084,American West|Animals|Economic,Alexander Pfister,"eggertspiele|999 Games|Arclight|Broadway Toys LTD|Conclave Editora|Delta Vision Publishing|Ediciones MasQueOca|Gigamic|Korea Boardgames Co., Ltd.|Lacerta|Ludicus|MINDOK|Pegasus Spiele|Plan B Games|Stronghold Games|uplay.it edizioni|YOKA Games|Zvezda",12,0,0
12333,Twilight Struggle,2005,2,2,120,13,8.27558,3.5972,Modern Warfare|Political|Wargame,Ananda Gupta|Jason Matthews,GMT Games|(Self-Published)|Asterion Press|Bard Centrum Gier|Chrononauts Games|Devir|DiceTree Games|GaGa Games|MINDOK|PHALANX|Udo Grebe Gamedesign|Wargames Club Publishing,13,0,0
169786,Scythe,2016,1,5,90,14,8.21213,3.4266,Economic|Fighting|Miniatures|Science Fiction|Territory Building,Jamey Stegmaier,"Stonemaier Games|Albi|Angry Lion Games|Arclight|CrowD Games|Delta Vision Publishing|Feuerland Spiele|Fire on Board Jogos|Galápagos Jogos|Geekach Games|Ghenos Games|Korea Boardgames Co., Ltd.|Ludofy Creative|Maldito Games|Matagot|Morning|PHALANX|Playfun Games|Surfin' Meeple China",14,0,0
316554,Dune: Imperium,2020,1,4,60,14,8.33316,2.9908,Movies / TV / Radio theme|Novel-based|Political|Science Fiction,Paul Dennen,Dire Wolf|Asmodee|Asmodee Italia|Geekach Games|Lavka Games|Lucky Duck Games|Reflexshop|REXhry|sternenschimmermeer|YingDi (旅法师营地),15,0,0
84876,The Castles of Burgundy,2011,2,4,30,12,8.126,2.9985,Dice|Medieval|Territory Building,Stefan Feld,alea|Ravensburger|Broadway Toys LTD|Giochi Uniti|Grow Jogos e Brinquedos|Hobby World|Maldito Games|Rebel Sp. z o.o.,16,0,0
167355,Nemesis,2018,1,5,90,12,8.37051,3.3983,Adventure|Horror|Miniatures|Science Fiction,Adam Kwapiński,"Awaken Realms|Rebel Sp. z o.o.|Arclight|Asmodee China|Cranio Creations|Delta Vision Publishing|Funforge|Galápagos Jogos|Hobby World|Korea Boardgames Co., Ltd.|MINDOK|Rebel Studio",17,0,0
173346,7 Wonders Duel,2015,2,2,30,10,8.10685,2.2256,Ancient|Card Game|City Building|Civilization|Economic,Antoine Bauza|Bruno Cathala,"Repos Production|ADC Blackfire Entertainment|Asmodee China|Asmodee Italia|Asterion Press|Galápagos Jogos|Gém Klub Kft.|KADABRA|Kaissa Chess & Games|Korea Boardgames Co., Ltd.|Lautapelit.fi|Lifestyle Boardgames Ltd|Ludicus|Ponva d.o.o.|Pridemage Games|Rebel Sp. z o.o.|Siam Board Games|Sombreros Production|Ігромаг",18,0,1
124361,Concordia,2013,2,5,100,13,8.12206,3.0089,Ancient|Economic|Nautical,Mac Gerdts,"PD-Verlag|999 Games|Cranio Creations|CrowD Games|Ediciones MasQueOca|Egmont Polska|Gém Klub Kft.|Heidelberger Spieleverlag|Korea Boardgames Co., Ltd.|Lex Games|New Games Order, LLC|Playfun Games|Rio Grande Games|Ystari Games",19,0,0
28720,Brass: Lancashire,2007,2,4,60,14,8.18529,3.8611,Economic|Industry / Manufacturing|Post-Napoleonic|Transportation,Martin Wallace,"Roxley|Warfrog Games|Arclight|BoardM Factory|Conclave Editora|CrowD Games|Eagle-Gryphon Games|FRED Distribution, Inc.|Funforge|Ghenos Games|Giant Roc|Maldito Games|Pegasus Spiele|PHALANX|Wargames Club Publishing|White Goblin Games",20,0,0
120677,Terra Mystica,2012,2,5,60,12,8.11448,3.9679,Civilization|Economic|Fantasy|Territory Building,Jens Drögemüller|Helge Ostertag,"Feuerland Spiele|Bard Centrum Gier|Capstone Games|Cranio Creations|Devir|Filosofia Éditions|FunBox Jogos|Gém Klub Kft.|HomoLudicus|Mandala Jogos|MINDOK|Swan Panasia Co., Ltd.|White Goblin Games|Z-Man Games|Zvezda|テンデイズゲームズ(TendaysGames)",21,0,0
